file,strehl,rms_err,fwhm,mjd,epoch,AIRMASS,ITIME,COADDS,FWINAME,AZ,DMGAIN,DTGAIN,XREF,YREF,XSTREHL,YSTREHL,WSFRRT,AOLBFWHM,LSAMPPWR,LGRMSWF,AOAOAMED,TUBETEMP,telem_file,telem_mjd,rms_mean,rms_std,mass_mjd,dimm_mjd,masspro_mjd,cfht_mjd,mass,dimm,masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,wind_speed,wind_direction,temperature,relative_humidity,pressure
c0282.fits,0.29600000000000004,372.9,65.31,56842.423720000006,14jullgs2,1.56381,2.8,10,Kp,194.51149,0.250,0.075,414.196,716.769,516.474,431.119,440,0.976378,12.444449,224.4,879,3.8513,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0282_fullLGS_trs.sav,56842.42373043981,149.16956,38.14396,56842.42362268519,56842.423263888886,56842.42398148147,56842.42361111112,0.3,0.7,1.77e-21,2.3100000000000006e-21,1.6e-22,1.41e-15,6.53e-14,1.19e-14,0.27,26.0,115.0,4.04,12.0,621.6
c0283.fits,0.259,393.2,69.96,56842.42431,14jullgs2,1.56546,2.8,10,Kp,194.74325,0.250,0.075,414.074,716.611,516.424,431.175,440,0.936312,12.397042,196.6,876,3.8377,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0283_fullLGS_trs.sav,56842.424318206016,136.85916,32.77483,56842.42469907407,56842.4243287037,56842.42398148147,56842.424305555556,0.12,0.68,1.77e-21,2.3100000000000006e-21,1.6e-22,1.41e-15,6.53e-14,1.19e-14,0.27,27.0,110.0,4.04,11.0,621.6
c0284.fits,0.278,382.5,66.83,56842.4249,14jullgs2,1.56715,2.8,10,Kp,194.97479,0.250,0.075,414.016,716.535,516.261,430.892,440,0.917657,12.444449,215.2,889,3.8379,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0284_fullLGS_trs.sav,56842.42490628472,132.20216,32.821266,56842.42469907407,56842.425405092596,56842.425046296295,56842.425,0.12,0.93,6.34e-24,1.4000000000000002e-21,3.5799999999999994e-21,2.2e-14,5.34e-14,1.28e-14,0.29,25.0,115.0,4.06,11.0,621.5
c0285.fits,0.25,398.2,72.58,56842.42552999999,14jullgs2,1.56897,2.8,10,Kp,195.22098,0.250,0.075,414.039,716.331,516.270,430.730,440,0.976001,12.278523,235.3,907,3.8315,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0285_fullLGS_trs.sav,56842.425533113426,125.04322,31.380632,56842.42576388889,56842.425405092596,56842.425046296295,56842.425694444435,0.25,0.93,6.34e-24,1.4000000000000002e-21,3.5799999999999994e-21,2.2e-14,5.34e-14,1.28e-14,0.29,24.0,109.0,4.08,11.0,621.6
c0286.fits,0.255,395.3,70.15,56842.42611,14jullgs2,1.57072,2.8,10,Kp,195.45115,0.250,0.075,414.074,717.277,516.278,431.443,440,0.948497,12.136301,195.5,915,3.8427,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0286_fullLGS_trs.sav,56842.42612134259,126.38479,32.79349,56842.42576388889,56842.42646990741,56842.42612268519,56842.42638888889,0.25,1.15,3.81e-23,4.560000000000001e-22,2.1e-24,2.32e-14,5.63e-14,9.35e-15,0.3,26.0,112.0,4.1,11.0,621.6
c0287.fits,0.184,440.2,86.55,56842.4267,14jullgs2,1.5725,2.8,10,Kp,195.68114,0.250,0.075,413.887,717.820,516.160,431.829,440,0.929684,12.325931,197.1,945,3.8321,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0287_fullLGS_trs.sav,56842.426709618056,125.472336,34.1382,56842.426840277774,56842.42646990741,56842.4271875,56842.42638888889,0.24,1.15,8.84e-22,1.74e-22,3.9399999999999996e-21,6.31e-14,4.75e-14,1.07e-14,0.36,26.0,112.0,4.1,11.0,621.6
c0288.fits,0.18600000000000003,438.2,79.88,56842.4273,14jullgs2,1.57434,2.8,10,Kp,195.9148,0.250,0.075,391.856,682.004,494.050,395.716,440,1.036927,12.539264,209.1,895,3.8295,,,,,56842.426840277774,56842.42753472223,56842.4271875,56842.42708333334,0.24,0.89,8.84e-22,1.74e-22,3.9399999999999996e-21,6.31e-14,4.75e-14,1.07e-14,0.36,26.0,118.0,4.1,11.0,621.6
c0289.fits,0.163,455.5,94.11,56842.42789,14jullgs2,1.57618,2.8,10,Kp,196.14337,0.250,0.075,392.098,683.417,494.198,397.557,440,0.999795,12.586672,200.3,748,3.8135,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0289_fullLGS_trs.sav,56842.42789351852,159.48445,50.46763,56842.42791666668,56842.42753472223,56842.42826388888,56842.427777777775,0.31,0.89,1.11e-23,1.26e-24,1.26e-20,3.72e-14,4.59e-14,8.98e-15,0.3,25.0,116.0,4.11,11.0,621.6
c0290.fits,0.22899999999999998,410.4,75.16,56842.42852,14jullgs2,1.57821,2.8,10,Kp,196.39105,0.250,0.075,391.901,682.613,494.191,396.959,440,1.045296,12.278523,194.9,788,3.8205,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0290_fullLGS_trs.sav,56842.42853060185,152.15115,41.377544,56842.428981481484,56842.42861111112,56842.42826388888,56842.42847222223,0.27,0.82,1.11e-23,1.26e-24,1.26e-20,3.72e-14,4.59e-14,8.98e-15,0.3,25.0,120.0,4.13,11.0,621.5
c0291.fits,0.17300000000000001,448.0,87.32,56842.429110000005,14jullgs2,1.58011,2.8,10,Kp,196.61849,0.250,0.075,391.915,682.593,494.114,396.336,440,0.990215,11.899264,194.7,947,3.8187,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0291_fullLGS_trs.sav,56842.42911827546,179.17665,49.764,56842.428981481484,56842.42861111112,56842.429328703714,56842.42916666668,0.27,0.82,1.91e-21,2.3e-21,2.16e-20,3.23e-14,4.06e-14,9.820000000000001e-15,0.28,24.0,116.0,4.13,11.0,621.6
c0292.fits,0.222,414.5,77.27,56842.4297,14jullgs2,1.58205,2.8,10,Kp,196.84602,0.250,0.075,392.231,682.996,494.293,397.160,440,1.034732,12.420746,186.8,940,3.8119,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0292_fullLGS_trs.sav,56842.42970659722,160.47305,41.778973,56842.428981481484,56842.42967592593,56842.429328703714,56842.429861111115,0.27,0.8,1.91e-21,2.3e-21,2.16e-20,3.23e-14,4.06e-14,9.820000000000001e-15,0.28,24.0,117.0,4.13,11.0,621.6
c0293.fits,0.213,420.2,78.47,56842.43029,14jullgs2,1.58402,2.8,10,Kp,197.07329,0.250,0.075,392.039,682.890,494.263,397.129,440,0.994785,12.491857,172.9,903,3.8081,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0293_fullLGS_trs.sav,56842.43029435185,154.52156,39.217686,56842.428981481484,56842.42967592593,56842.429328703714,56842.430555555555,0.27,0.8,1.91e-21,2.3e-21,2.16e-20,3.23e-14,4.06e-14,9.820000000000001e-15,0.28,25.0,119.0,4.12,11.0,621.5
