file,strehl,rms_err,fwhm,mjd,epoch,airmass,itime,coadds,fwiname,az,dmgain,dtgain,xref,yref,xstrehl,ystrehl,wsfrrt,aolbfwhm,lsamppwr,lgrmswf,aoaoamed,tubetemp,mass_mjd,dimm_mjd,masspro_mjd,cfht_mjd,mass,dimm,masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,wind_speed,wind_direction,temperature,relative_humidity,pressure
c3110.fits,0.2,429.0,79.49,56409.60389,13aprlgs,1.5515,2.8,10,Kp,192.60662,0.25,0.02,450.625,682.5089999999999,555.729,398.07599999999996,750,0.9848690000000001,15.162791,163.3,857,0.0204,56409.60435185185,56409.60398148147,56409.60362268519,56409.60416666666,0.61,0.58,1.2500000000000001e-21,4.66e-23,1.53e-18,1.3699999999999995e-13,2.6e-13,4.26e-15,0.73,4.0,117.0,1.42,8.0,615.3
c3111.fits,0.165,453.8,88.45,56409.60449,13aprlgs,1.55294,2.8,10,Kp,192.84531,0.25,0.02,449.57099999999997,680.673,554.75,396.23,750,1.050226,14.767442,165.5,692,0.005,56409.60435185185,56409.60398148147,56409.604756944434,56409.60416666666,0.61,0.58,7.2000000000000015e-22,4.2e-23,2.41e-21,8.01e-14,1.76e-13,9.709999999999999e-15,0.57,4.0,117.0,1.42,8.0,615.3
c3112.fits,0.206,425.3,81.13,56409.60508,13aprlgs,1.55439,2.8,10,Kp,193.08207,0.25,0.02,448.42900000000003,681.092,553.606,396.57099999999997,750,1.020536,14.976744,185.6,529,0.0171,56409.60554398147,56409.60519675926,56409.604756944434,56409.60486111111,0.55,0.64,7.2000000000000015e-22,4.2e-23,2.41e-21,8.01e-14,1.76e-13,9.709999999999999e-15,0.57,1.0,112.0,1.43,8.0,615.3
c3113.fits,0.185,439.4,86.36,56409.60567,13aprlgs,1.55587,2.8,10,Kp,193.31839,0.25,0.02,446.333,680.457,551.5830000000001,396.006,750,1.075067,14.976744,200.4,474,0.0162,56409.60554398147,56409.60519675926,56409.605902777774,56409.605555555565,0.55,0.64,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,2.0,114.0,1.42,8.0,615.3
c3114.fits,0.094,520.0,135.6,56409.60635,13aprlgs,1.55761,2.8,10,Kp,193.58867,0.25,0.02,444.842,679.939,549.879,395.353,750,1.188131,14.976744,196.6,438,0.0035,56409.60554398147,56409.60519675926,56409.605902777774,56409.60625,0.55,0.64,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,4.0,105.0,1.4,8.0,615.3
c3115.fits,0.17,450.3,88.54,56409.60694,13aprlgs,1.55915,2.8,10,Kp,193.82362,0.25,0.02,443.923,680.154,548.835,395.745,750,1.311907,15.209302,303.7,314,-0.0081,56409.60554398147,56409.60519675926,56409.605902777774,56409.606944444444,0.55,0.64,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,5.0,109.0,1.38,8.0,615.4
c3116.fits,0.131,482.2,102.07,56409.60758,13aprlgs,1.56085,2.8,10,Kp,194.07554,0.25,0.02,446.32300000000004,681.8789999999999,551.745,397.73800000000006,750,1.286234,15.116279,216.4,559,-0.0088,56409.609178240746,56409.608831018515,56409.605902777774,56409.607638888876,0.3,0.44,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,6.0,111.0,1.34,9.0,615.4
c3128.fits,0.234,407.5,71.1,56409.61476,13aprlgs,1.58247,2.8,10,Kp,196.88611,0.25,0.02,406.348,708.466,511.728,423.926,750,1.15109,14.581395,178.7,561,-0.0338,56409.609178240746,56409.61479166668,56409.605902777774,56409.61458333334,0.3,0.34,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,1.0,141.0,1.33,8.0,615.4
c3129.fits,0.235,406.6,72.02,56409.61535,13aprlgs,1.58447,2.8,10,Kp,197.11551,0.25,0.02,406.17400000000004,708.5060000000001,511.50300000000004,423.93699999999995,750,1.149858,14.534884,135.3,541,-0.0486,56409.609178240746,56409.61479166668,56409.605902777774,56409.615277777775,0.3,0.34,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,1.0,141.0,1.41,8.0,615.4
c3130.fits,0.213,420.4,78.06,56409.61594,13aprlgs,1.58649,2.8,10,Kp,197.3432,0.25,0.02,405.839,707.97,511.01800000000003,423.347,750,1.074837,14.046512,156.3,427,-0.0241,56409.609178240746,56409.61479166668,56409.605902777774,56409.61597222223,0.3,0.34,1.39e-22,6.5e-23,3.3799999999999988e-21,9.79e-16,1.3200000000000002e-13,7.33e-15,0.39,1.0,138.0,1.5,8.0,615.4
