strehl,fwhm,airmass,az,mass,dimm,wind_speed,wind_direction,temperature,relative_humidity,pressure
0.211,69.8,1.6606,203.737,0.12,0.27,3.0,125.0,3.71,8.0,618.8
0.253,61.78,1.6639099999999998,203.96026,0.16,0.27,3.0,125.0,3.73,8.0,618.8
0.317,60.77,1.7596,150.84775,0.34,0.42,12.0,63.0,3.9,14.0,619.7
0.343,59.25,1.75542,151.03529,0.34,0.38,12.0,66.0,3.88,14.0,619.7
0.279,65.13,1.75112,151.23093,0.31,0.38,12.0,65.0,3.86,14.0,619.7
0.299,64.16,1.7469999999999999,151.4216,0.31,0.47,12.0,67.0,3.85,14.0,619.7
0.313,59.53,1.7428299999999999,151.61736000000002,0.31,0.47,12.0,64.0,3.84,14.0,619.7
0.328,59.04,1.73332,152.07628,0.4,0.29,13.0,67.0,3.82,14.0,619.7
0.326,59.95,1.72944,152.2681,0.4,0.29,13.0,67.0,3.82,14.0,619.7
0.295,65.08,1.7255900000000002,152.46143999999998,0.4,0.29,13.0,67.0,3.82,14.0,619.7
0.312,61.39,1.7217799999999999,152.65565,0.4,0.29,12.0,65.0,3.81,14.0,619.8
0.317,61.34,1.7180400000000002,152.84951,0.4,0.26,13.0,63.0,3.81,14.0,619.8
0.316,62.53,1.71428,153.04737,0.4,0.26,12.0,61.0,3.79,14.0,619.8
0.267,65.28,1.70945,153.30573,0.4,0.34,12.0,61.0,3.77,14.0,619.8
0.326,59.54,1.70585,153.50194,0.08,0.34,12.0,61.0,3.75,14.0,619.8
0.341,58.93,1.70222,153.7027,0.08,0.3,13.0,62.0,3.72,14.0,619.8
0.317,60.99,1.6986400000000001,153.90417,0.08,0.34,13.0,62.0,3.72,14.0,619.8
0.289,64.5,1.6951200000000002,154.10529,0.08,0.34,12.0,66.0,3.71,14.0,619.8
0.31,61.08,1.6916,154.30912,0.08,0.34,13.0,62.0,3.7,14.0,619.8
0.298,62.9,1.68717,154.57098,0.08,0.27,13.0,61.0,3.69,14.0,619.8
